epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8214,1.65397,3.66052,1.32216,0.91485,0.16985,0.5133,0.27096,1.66761,2.99645,1.17789,0.000298478,0.000298478,0.000298478
2,93.7441,1.62682,1.98643,1.22828,0.57823,0.64243,0.65078,0.30705,1.78273,1.92155,1.20204,0.000586591,0.000586591,0.000586591
3,137.866,1.53688,1.63287,1.20271,0.76089,0.73095,0.73369,0.33407,1.84031,1.50348,1.20037,0.000859706,0.000859706,0.000859706
4,181.432,1.51271,1.47466,1.17505,0.68159,0.72234,0.74387,0.33414,1.70101,1.59365,1.17865,0.000841507,0.000841507,0.000841507
5,225.488,1.41773,1.39409,1.13754,0.77691,0.81462,0.79836,0.40189,1.56827,1.23284,1.1182,0.000819009,0.000819009,0.000819009
6,46.4934,1.37663,1.30407,1.14145,0.72202,0.78483,0.76969,0.38764,1.65476,1.26962,1.14692,0.000796511,0.000796511,0.000796511
7,91.0569,1.32752,1.25259,1.10723,0.81682,0.84441,0.83405,0.45081,1.50476,1.10197,1.06953,0.000774013,0.000774013,0.000774013
8,134.799,1.27529,1.18884,1.08823,0.80799,0.83485,0.80003,0.42857,1.58713,1.10285,1.08442,0.000751516,0.000751516,0.000751516
9,181.741,1.25073,1.12866,1.07787,0.82287,0.78962,0.81144,0.46052,1.55611,1.21805,1.08206,0.000729018,0.000729018,0.000729018
10,230.023,1.20769,1.11057,1.05949,0.86501,0.85278,0.8563,0.48201,1.40493,1.00163,1.03985,0.00070652,0.00070652,0.00070652
11,50.1484,1.19598,1.07429,1.06923,0.82081,0.82468,0.85551,0.51728,1.35269,1.00701,1.03306,0.000684022,0.000684022,0.000684022
12,98.1898,1.15802,1.04019,1.0448,0.84857,0.86487,0.85005,0.49254,1.47116,0.94401,1.03776,0.000661525,0.000661525,0.000661525
13,142.094,1.13929,1.01285,1.04134,0.88476,0.84686,0.83766,0.48615,1.43341,0.94057,1.0316,0.000639027,0.000639027,0.000639027
14,186.414,1.11841,0.98137,1.02955,0.87641,0.84575,0.88476,0.53022,1.34146,1.03692,1.02525,0.000616529,0.000616529,0.000616529
15,230.405,1.0891,0.98032,1.02288,0.83882,0.88157,0.8868,0.50061,1.4253,0.96048,1.04459,0.000594031,0.000594031,0.000594031
16,46.6865,1.05978,0.94256,1.01959,0.85321,0.88495,0.88802,0.53565,1.35263,0.9067,1.0041,0.000571534,0.000571534,0.000571534
17,90.4304,1.05424,0.91819,1.00593,0.90245,0.85642,0.86248,0.49306,1.4248,0.86759,1.03627,0.000549036,0.000549036,0.000549036
18,133.385,1.03951,0.90221,1.00389,0.88456,0.88264,0.88524,0.51826,1.363,0.87703,1.00333,0.000526538,0.000526538,0.000526538
19,177.517,1.02127,0.86048,0.99866,0.88692,0.87831,0.89336,0.5517,1.26294,0.87424,0.99981,0.00050404,0.00050404,0.00050404
20,222.067,0.99196,0.8611,0.98968,0.88452,0.90935,0.91453,0.52668,1.41182,0.8764,1.02679,0.000481543,0.000481543,0.000481543
21,47.3514,0.97601,0.82443,0.99112,0.92075,0.87845,0.91235,0.52338,1.41137,0.83971,1.02932,0.000459045,0.000459045,0.000459045
22,94.5018,0.97024,0.81911,0.97777,0.89661,0.87128,0.90819,0.53539,1.33602,0.8098,1.01734,0.000436547,0.000436547,0.000436547
23,142.431,0.96531,0.81279,0.9775,0.87659,0.85688,0.88218,0.53631,1.24155,0.84033,0.99723,0.000414049,0.000414049,0.000414049
