epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0922,2.03477,4.24405,1.39819,0.00142,0.08333,0.00397,0.00062,2.05443,4.21671,1.29158,0.00031746,0.00031746,0.00031746
2,17.9804,1.77736,3.29803,1.24515,0.00686,0.58333,0.18829,0.09673,1.56611,3.56141,1.20277,0.000634687,0.000634687,0.000634687
3,25.7565,1.76383,2.52885,1.24031,0.67829,0.30625,0.38071,0.2373,1.68857,2.46683,1.2074,0.000935413,0.000935413,0.000935413
4,33.3913,1.72152,2.14792,1.17739,0.77579,0.40078,0.3939,0.21091,1.6519,2.55595,1.27156,0.00092575,0.00092575,0.00092575
5,40.6866,1.70297,2.0057,1.18649,0.69878,0.43359,0.47059,0.32033,1.4093,2.10757,1.15782,0.000901,0.000901,0.000901
6,47.6673,1.6108,1.78335,1.16647,0.71687,0.5923,0.48499,0.29954,1.57978,2.01072,1.20063,0.00087625,0.00087625,0.00087625
7,54.8091,1.58838,1.7381,1.15178,0.79368,0.60426,0.64281,0.41442,1.44495,1.53832,1.19324,0.0008515,0.0008515,0.0008515
8,62.0918,1.50928,1.6246,1.11779,0.58987,0.72349,0.61767,0.42276,1.31682,1.47263,1.14131,0.00082675,0.00082675,0.00082675
9,69.5867,1.33512,1.51406,1.10042,0.79106,0.72215,0.64328,0.43755,1.29622,1.36177,1.12805,0.000802,0.000802,0.000802
10,76.7777,1.49336,1.50481,1.12485,0.71819,0.64992,0.64794,0.40575,1.35094,1.42221,1.14767,0.00077725,0.00077725,0.00077725
11,83.7048,1.51219,1.37413,1.09459,0.76026,0.65,0.62977,0.42235,1.27886,1.17032,1.11321,0.0007525,0.0007525,0.0007525
12,90.7886,1.38196,1.29473,1.08012,0.7862,0.65567,0.71232,0.48078,1.32268,1.27394,1.14024,0.00072775,0.00072775,0.00072775
13,97.9524,1.35958,1.32085,1.07463,0.84108,0.68532,0.73199,0.47943,1.30357,1.23584,1.10366,0.000703,0.000703,0.000703
14,104.791,1.35149,1.28767,1.06062,0.82673,0.69508,0.7464,0.51821,1.16218,1.09448,1.06142,0.00067825,0.00067825,0.00067825
15,111.926,1.23442,1.21565,1.04326,0.74129,0.69246,0.74492,0.49172,1.27902,1.11413,1.08691,0.0006535,0.0006535,0.0006535
16,119.61,1.29707,1.26477,1.03309,0.6184,0.73748,0.70672,0.4942,1.06692,1.21809,1.00536,0.00062875,0.00062875,0.00062875
17,127.689,1.32113,1.26403,1.07531,0.6432,0.72042,0.73975,0.48102,1.20634,1.19564,1.06827,0.000604,0.000604,0.000604
18,135.301,1.2361,1.16553,1.05014,0.87298,0.73383,0.80093,0.54459,1.10121,1.0233,1.01998,0.00057925,0.00057925,0.00057925
19,143.146,1.17986,1.10788,1.01693,0.89025,0.72497,0.7848,0.54208,1.17152,1.04258,1.05375,0.0005545,0.0005545,0.0005545
20,151.193,1.23563,1.16611,1.00868,0.83298,0.76717,0.8069,0.55784,1.05818,1.01813,1.018,0.00052975,0.00052975,0.00052975
21,158.975,1.14454,1.14217,1.03513,0.8669,0.73597,0.81929,0.55961,1.10967,0.96563,0.99425,0.000505,0.000505,0.000505
22,166.953,1.16641,1.11199,1.00985,0.95444,0.71467,0.8566,0.5944,1.10337,0.96324,0.9943,0.00048025,0.00048025,0.00048025
23,174.954,1.14089,1.08051,1.00957,0.80004,0.83876,0.88667,0.59438,1.06991,0.93333,1.00874,0.0004555,0.0004555,0.0004555
24,182.782,1.07638,1.02762,1.00813,0.81367,0.81667,0.88624,0.61334,0.97411,0.8636,0.96477,0.00043075,0.00043075,0.00043075
25,191.055,1.07107,1.07872,0.98027,0.88835,0.75852,0.87201,0.58806,1.01635,0.88764,0.97157,0.000406,0.000406,0.000406
26,199.071,1.13488,1.05161,0.99152,0.76832,0.7459,0.80736,0.57862,0.97792,0.9037,0.98117,0.00038125,0.00038125,0.00038125
27,207.064,1.11368,1.04894,1.01439,0.76941,0.81937,0.8202,0.54339,1.07245,1.04856,0.99787,0.0003565,0.0003565,0.0003565
28,214.807,1.13928,1.08325,1.00944,0.84885,0.78796,0.85841,0.63048,0.94996,0.81658,0.94678,0.00033175,0.00033175,0.00033175
29,222.385,1.05843,1.06128,0.99066,0.81405,0.85409,0.86086,0.63697,0.89501,0.75897,0.9333,0.000307,0.000307,0.000307
30,229.946,1.10008,1.02733,0.99065,0.83849,0.84718,0.87583,0.64298,0.90155,0.77053,0.94524,0.00028225,0.00028225,0.00028225
31,237.645,1.01252,0.97548,1.01281,0.91599,0.85631,0.88955,0.61028,1.0042,0.8318,0.98191,0.0002575,0.0002575,0.0002575
32,245.53,1.00397,0.93347,0.994,0.78523,0.84145,0.8565,0.62646,0.92478,0.8117,0.9496,0.00023275,0.00023275,0.00023275
33,253.866,1.03513,0.9131,0.97646,0.83879,0.83157,0.85715,0.63231,0.8823,0.78061,0.93594,0.000208,0.000208,0.000208
34,261.731,0.94097,0.87236,0.97971,0.88305,0.83333,0.87976,0.63256,0.90815,0.76095,0.93986,0.00018325,0.00018325,0.00018325
35,269.171,0.93026,0.83985,0.95859,0.9269,0.88333,0.91856,0.64172,0.89404,0.75666,0.92706,0.0001585,0.0001585,0.0001585
